Tiempo,Direccion de viento media vectorial,Direccion de viento media escalar,Direccion de rafaga
2026-04-20 06:20:00,351.9000,340.0000,351.4000
2026-04-20 06:30:00,352.4000,349.7000,353.8000
2026-04-20 06:40:00,354.7000,358.8000,2.4000
2026-04-20 06:50:00,348.3000,354.8000,353.7000
2026-04-20 07:00:00,349.2000,2.1000,322.8000
2026-04-20 07:10:00,344.8000,351.6000,336.0000
2026-04-20 07:20:00,351.1000,347.1000,317.9000
2026-04-20 07:30:00,341.5000,341.1000,322.1000
2026-04-20 07:40:00,339.8000,2.7000,352.6000
2026-04-20 07:50:00,350.8000,354.2000,304.9000
2026-04-20 08:00:00,352.2000,2.7000,331.3000
2026-04-20 08:10:00,346.2000,352.0000,318.8000
2026-04-20 08:20:00,343.9000,344.1000,343.5000
2026-04-20 08:30:00,340.4000,348.4000,295.5000
2026-04-20 08:40:00,342.4000,344.8000,343.1000
2026-04-20 08:50:00,341.1000,338.0000,310.5000
2026-04-20 09:00:00,348.7000,7.6000,321.9000
2026-04-20 09:10:00,342.8000,335.3000,354.8000
2026-04-20 09:20:00,344.7000,332.9000,330.4000
2026-04-20 09:30:00,344.1000,330.6000,324.1000
2026-04-20 09:40:00,345.8000,339.8000,342.0000
2026-04-20 09:50:00,347.0000,334.9000,332.9000
2026-04-20 10:00:00,347.4000,357.6000,313.6000
2026-04-20 10:10:00,346.9000,3.1000,344.7000
2026-04-20 10:20:00,351.3000,344.7000,337.4000
2026-04-20 10:30:00,346.6000,347.6000,334.7000
2026-04-20 10:40:00,352.1000,347.1000,333.3000
2026-04-20 10:50:00,345.4000,343.9000,354.1000
2026-04-20 11:00:00,349.8000,357.3000,337.7000
2026-04-20 11:10:00,347.5000,351.6000,347.4000
2026-04-20 11:20:00,353.9000,1.3000,358.1000
2026-04-20 11:30:00,350.9000,8.5000,356.5000
2026-04-20 11:40:00,349.5000,345.0000,334.5000
2026-04-20 11:50:00,351.7000,6.3000,320.8000
2026-04-20 12:00:00,353.1000,0.1000,344.3000
2026-04-20 12:10:00,345.5000,347.7000,345.8000
2026-04-20 12:20:00,349.1000,343.8000,342.1000
2026-04-20 12:30:00,352.0000,4.4000,345.5000
2026-04-20 12:40:00,346.7000,335.0000,356.2000
2026-04-20 12:50:00,349.1000,345.8000,341.2000
2026-04-20 13:00:00,346.8000,358.5000,335.5000
2026-04-20 13:10:00,343.2000,343.3000,343.1000
2026-04-20 13:20:00,352.6000,343.9000,345.3000
2026-04-20 13:30:00,347.6000,346.1000,321.1000
2026-04-20 13:40:00,349.9000,343.0000,347.1000
2026-04-20 13:50:00,350.0000,339.8000,351.1000
2026-04-20 14:00:00,343.1000,355.1000,328.7000
2026-04-20 14:10:00,347.1000,356.5000,349.2000
2026-04-20 14:20:00,351.9000,2.1000,344.9000
2026-04-20 14:30:00,351.2000,351.0000,352.7000
2026-04-20 14:40:00,350.6000,352.5000,335.3000
2026-04-20 14:50:00,358.4000,353.6000,351.8000
2026-04-20 15:00:00,358.7000,347.4000,351.5000
2026-04-20 15:10:00,351.6000,344.6000,357.7000
2026-04-20 15:20:00,351.4000,0.1000,357.3000
2026-04-20 15:30:00,351.7000,357.9000,342.0000
2026-04-20 15:40:00,356.5000,359.9000,346.4000
2026-04-20 15:50:00,339.9000,345.9000,320.6000
2026-04-20 16:00:00,355.6000,353.1000,325.7000
2026-04-20 16:10:00,359.8000,2.3000,351.9000
2026-04-20 16:20:00,358.2000,4.7000,359.9000
2026-04-20 16:30:00,358.3000,351.2000,350.0000
2026-04-20 16:40:00,357.3000,349.9000,356.6000
2026-04-20 16:50:00,358.0000,353.3000,351.6000
2026-04-20 17:00:00,353.7000,3.5000,354.1000
2026-04-20 17:10:00,356.8000,355.1000,357.4000
2026-04-20 17:20:00,4.9000,0.2000,359.3000
2026-04-20 17:30:00,6.9000,14.6000,4.8000
2026-04-20 17:40:00,1.8000,9.8000,9.0000
2026-04-20 17:50:00,356.4000,2.5000,5.2000
2026-04-20 18:00:00,6.2000,359.6000,356.3000
2026-04-20 18:10:00,359.6000,7.3000,358.4000
2026-04-20 18:20:00,356.5000,350.3000,357.1000
2026-04-20 18:30:00,4.6000,6.1000,358.5000
2026-04-20 18:40:00,0.9000,357.4000,357.4000
2026-04-20 18:50:00,358.7000,357.6000,347.8000
2026-04-20 19:00:00,7.2000,357.2000,359.8000
2026-04-20 19:10:00,0.7000,347.6000,0.0000
2026-04-20 19:20:00,357.0000,358.6000,346.7000
2026-04-20 19:30:00,359.9000,355.8000,357.5000
2026-04-20 19:40:00,358.8000,3.1000,1.8000
2026-04-20 19:50:00,7.6000,359.7000,357.3000
2026-04-20 20:00:00,15.6000,15.5000,14.9000
2026-04-20 20:10:00,8.5000,16.0000,17.1000
2026-04-20 20:20:00,14.1000,13.3000,5.3000
2026-04-20 20:30:00,359.2000,4.4000,354.6000
2026-04-20 20:40:00,5.3000,1.9000,6.6000
2026-04-20 20:50:00,13.0000,14.5000,19.3000
2026-04-20 21:00:00,11.3000,10.0000,17.1000
2026-04-20 21:10:00,3.4000,14.5000,3.8000
2026-04-20 21:20:00,2.0000,0.4000,2.7000
2026-04-20 21:30:00,3.8000,359.8000,342.0000
2026-04-20 21:40:00,4.7000,358.0000,355.6000
2026-04-20 21:50:00,7.4000,0.8000,356.7000
2026-04-20 22:00:00,359.8000,8.4000,344.8000
2026-04-20 22:10:00,11.5000,21.1000,357.9000
2026-04-20 22:20:00,2.9000,11.7000,17.6000
2026-04-20 22:30:00,7.4000,5.7000,16.9000
2026-04-20 22:40:00,18.7000,21.9000,3.9000
2026-04-20 22:50:00,14.3000,18.5000,17.1000
2026-04-20 23:00:00,50.1000,47.1000,40.9000
2026-04-20 23:10:00,73.5000,72.2000,85.0000
2026-04-20 23:20:00,63.2000,67.2000,71.9000
2026-04-20 23:30:00,49.0000,54.4000,71.6000
2026-04-20 23:40:00,40.5000,35.9000,42.9000
2026-04-20 23:50:00,33.4000,18.6000,45.7000
2026-04-21 00:00:00,50.4000,55.1000,21.8000
2026-04-21 00:10:00,55.0000,63.7000,55.1000
2026-04-21 00:20:00,31.3000,32.6000,56.5000
2026-04-21 00:30:00,3.0000,334.4000,55.9000
2026-04-21 00:40:00,11.0000,8.9000,12.7000
2026-04-21 00:50:00,2.9000,19.4000,24.3000
2026-04-21 01:00:00,22.6000,24.2000,18.9000
2026-04-21 01:10:00,9.9000,4.0000,11.6000
2026-04-21 01:20:00,3.0000,4.4000,8.2000
2026-04-21 01:30:00,9.1000,26.6000,15.3000
2026-04-21 01:40:00,2.9000,13.2000,346.2000
2026-04-21 01:50:00,10.4000,6.9000,7.4000
2026-04-21 02:00:00,2.9000,359.8000,357.1000
2026-04-21 02:10:00,359.2000,346.2000,14.7000
2026-04-21 02:20:00,357.2000,1.9000,348.1000
